term5
"[15, 130, '144']","[16, 17, '23']","[17, 53, '63']",[0]
"[15, 89, '103']","[16, 5, '6']","[19, 116, '130']",[0]
"[17, 54, '64']","[16, 2, '3']","[19, 115, '129']",[0]
"[16, 19, '25']","[17, 29, '35']","[19, 102, '116']",[0]
"[17, 46, '56']","[18, 75, '89']","[19, 91, '105']",[0]
"[18, 64, '78']","[17, 48, '58']","[19, 97, '111']",[0]
"[18, 80, '94']","[17, 40, '46']","[19, 108, '122']",[0]
"[19, 124, '138']","[17, 31, '37']","[18, 62, '76']",[0]
"[18, 77, '91']","[17, 51, '61']","[19, 112, '126']",[0]
"[18, 76, '90']","[16, 1, '2']","[19, 126, '140']",[0]
"[19, 106, '120']","[16, 4, '5']","[17, 25, '31']",[0]
"[16, 14, '20']","[17, 39, '45']","[19, 109, '123']",[0]
"[16, 8, '9']","[17, 42, '48']","[19, 104, '118']",[0]
"[19, 94, '108']","[16, 23, '29']","[17, 26, '32']",[0]
"[16, 10, '16']","[17, 33, '39']","[19, 93, '107']",[0]
"[16, 0, '1']","[17, 37, '43']","[19, 92, '106']",[0]
"[18, 68, '82']","[17, 49, '59']","[19, 98, '112']",[0]
"[17, 27, '33']","[18, 61, '75']","[19, 103, '117']",[0]
"[16, 12, '18']","[15, 87, '101']","[19, 101, '115']",[0]
"[19, 90, '104']","[16, 20, '26']","[17, 35, '41']",[0]
"[18, 71, '85']","[16, 6, '7']","[19, 123, '137']",[0]
"[19, 95, '109']","[17, 45, '55']","[18, 78, '92']",[0]
"[19, 118, '132']","[16, 16, '22']","[17, 28, '34']",[0]
"[19, 111, '125']","[16, 24, '30']","[18, 82, '96']",[0]
"[16, 3, '4']","[18, 69, '83']","[19, 113, '127']",[0]
"[19, 107, '121']","[16, 15, '21']","[18, 84, '98']",[0]
"[16, 22, '28']","[17, 34, '40']","[19, 119, '133']",[0]
"[15, 86, '100']","[17, 47, '57']","[18, 73, '87']",[0]
"[18, 72, '86']","[16, 18, '24']","[19, 105, '119']",[0]
"[19, 96, '110']","[15, 132, '146']","[18, 58, '68']",[0]
"[15, 128, '142']","[17, 32, '38']","[19, 110, '124']",[0]
"[17, 56, '66']","[18, 66, '80']","[19, 117, '131']",[0]
"[16, 9, '15']","[18, 74, '88']","[19, 125, '139']",[0]
"[17, 41, '47']","[15, 88, '102']","[18, 65, '79']",[0]
"[19, 121, '135']","[16, 11, '17']","[17, 36, '42']",[0]
"[17, 44, '54']","[15, 85, '99']","[19, 99, '113']",[0]
"[18, 79, '93']","[17, 43, '49']","[19, 100, '114']",[0]
"[17, 57, '67']","[18, 63, '77']","[19, 114, '128']",[0]
"[17, 52, '62']","[16, 21, '27']","[18, 81, '95']",[0]
"[17, 38, '44']","[18, 70, '84']","[19, 122, '136']",[0]
"[18, 60, '74']","[15, 127, '141']","[17, 55, '65']",[0]
"[18, 67, '81']","[15, 129, '143']","[17, 50, '60']",[0]
"[18, 83, '97']","[16, 13, '19']","[19, 120, '134']",[0]
"[18, 59, '73']","[15, 131, '145']","[16, 7, '8']",[0]
term6
"[16, 21, '27']","[18, 68, '82']","[19, 114, '128']",[0]
"[15, 87, '101']","[16, 3, '4']","[18, 79, '93']",[0]
"[18, 74, '88']","[17, 39, '45']","[19, 110, '124']",[0]
"[19, 98, '112']","[17, 53, '63']","[18, 59, '73']",[0]
"[18, 73, '87']","[17, 38, '44']","[19, 123, '137']",[0]
"[17, 49, '59']","[15, 86, '100']","[16, 14, '20']",[0]
"[17, 47, '57']","[18, 77, '91']","[19, 125, '139']",[0]
"[19, 119, '133']","[15, 129, '143']","[16, 10, '16']",[0]
"[16, 6, '7']","[15, 89, '103']","[19, 118, '132']",[0]
"[15, 85, '99']","[16, 12, '18']","[17, 25, '31']",[0]
"[16, 16, '22']","[17, 52, '62']","[19, 90, '104']",[0]
"[16, 4, '5']","[15, 131, '145']","[19, 96, '110']",[0]
"[19, 116, '130']","[16, 22, '28']","[17, 31, '37']",[0]
"[17, 28, '34']","[16, 19, '25']","[19, 95, '109']",[0]
"[19, 117, '131']","[17, 34, '40']","[18, 80, '94']",[0]
"[17, 40, '46']","[16, 17, '23']","[19, 102, '116']",[0]
"[18, 58, '68']","[17, 54, '64']","[19, 108, '122']",[0]
"[19, 92, '106']","[17, 48, '58']","[18, 84, '98']",[0]
"[19, 126, '140']","[17, 27, '33']","[18, 72, '86']",[0]
"[17, 45, '55']","[16, 9, '15']","[19, 124, '138']",[0]
"[16, 23, '29']","[17, 33, '39']","[19, 106, '120']",[0]
"[17, 35, '41']","[18, 81, '95']","[19, 103, '117']",[0]
"[19, 113, '127']","[17, 51, '61']","[18, 75, '89']",[0]
"[17, 50, '60']","[16, 8, '9']","[19, 101, '115']",[0]
"[17, 32, '38']","[16, 24, '30']","[19, 91, '105']",[0]
"[18, 70, '84']","[16, 11, '17']","[19, 115, '129']",[0]
"[16, 20, '26']","[17, 29, '35']","[19, 111, '125']",[0]
"[17, 42, '48']","[18, 78, '92']","[19, 121, '135']",[0]
"[16, 7, '8']","[18, 76, '90']","[19, 100, '114']",[0]
"[18, 63, '77']","[17, 26, '32']","[19, 93, '107']",[0]
"[18, 62, '76']","[17, 56, '66']","[19, 105, '119']",[0]
"[18, 66, '80']","[15, 127, '141']","[19, 107, '121']",[0]
"[19, 99, '113']","[17, 36, '42']","[18, 65, '79']",[0]
"[16, 5, '6']","[18, 67, '81']","[19, 109, '123']",[0]
"[18, 61, '75']","[15, 88, '102']","[19, 112, '126']",[0]
"[16, 13, '19']","[15, 128, '142']","[18, 71, '85']",[0]
"[19, 97, '111']","[17, 41, '47']","[18, 69, '83']",[0]
"[16, 15, '21']","[17, 57, '67']","[18, 64, '78']",[0]
"[17, 37, '43']","[18, 60, '74']","[19, 120, '134']",[0]
"[17, 43, '49']","[18, 83, '97']","[19, 104, '118']",[0]
"[18, 82, '96']","[16, 0, '1']","[17, 55, '65']",[0]
"[16, 1, '2']","[15, 132, '146']","[17, 44, '54']",[0]
"[16, 2, '3']","[17, 46, '56']","[19, 122, '136']",[0]
"[16, 18, '24']","[15, 130, '144']","[19, 94, '108']",[0]
term7
"[18, 65, '79']","[17, 42, '48']","[16, 0, '1']",[0]
"[19, 102, '116']","[18, 63, '77']","[16, 13, '19']",[0]
"[19, 125, '139']","[18, 58, '68']","[17, 49, '59']",[0]
"[17, 36, '42']","[19, 111, '125']","[18, 68, '82']",[0]
"[15, 88, '102']","[19, 116, '130']","[17, 35, '41']",[0]
"[19, 104, '118']","[16, 18, '24']","[17, 41, '47']",[0]
"[17, 29, '35']","[16, 4, '5']","[19, 99, '113']",[0]
"[16, 11, '17']","[17, 38, '44']","[19, 106, '120']",[0]
"[19, 103, '117']","[16, 7, '8']","[18, 64, '78']",[0]
"[16, 17, '23']","[19, 92, '106']","[17, 45, '55']",[0]
"[19, 114, '128']","[16, 15, '21']","[18, 70, '84']",[0]
"[18, 78, '92']","[17, 43, '49']","[19, 124, '138']",[0]
"[19, 123, '137']","[17, 56, '66']","[16, 10, '16']",[0]
